id,message,story,status,time,type,link,name,shares
1645368438926792_882415738555403,過去的是好是壞，逝去的就是逝去了。能做的就是抓住那點微光，朝亮處奔跑#颱風後有的感想#停電反而教會我這麼個道理#也大三了,,added_photos,2016-09-28T13:24:35+0000,photo,https://www.facebook.com/photo.php?fbid=882415741888736&set=a.823028327827478&type=3,"Instagram photo by Cha Chin ? Sep 28, 2016 at 1:24pm UTC",0
1645368438926792_879413495522294,就說嘉義是台灣的第二個躁咖,,mobile_status_update,2016-09-23T15:43:56+0000,video,https://www.facebook.com/ETtodayTRAVEL/videos/1170901319628880/,ETtoday旅遊雲,0
1645368438926792_878052305658413,,,mobile_status_update,2016-09-21T06:12:51+0000,video,https://www.facebook.com/ETtodayPETS/videos/1144804815607199/,ETtoday寵物雲,0
1645368438926792_877460829050894,,,mobile_status_update,2016-09-20T02:29:13+0000,video,https://www.facebook.com/marktalking/videos/1757087024546680/,Mark語錄,0
1645368438926792_876446755818968,,,mobile_status_update,2016-09-18T09:10:53+0000,photo,https://www.facebook.com/cmrdb/photos/a.301142130081053/559372134258050/?type=3,行雲者研發基地,0
1645368438926792_875867915876852,,,mobile_status_update,2016-09-17T07:42:00+0000,video,https://www.facebook.com/news.ebc/videos/1153508411350915/,東森新聞,0
1645368438926792_874874849309492,聽了會平靜~,,shared_story,2016-09-15T16:15:21+0000,video,https://www.youtube.com/watch?v=8MgaBcnEN94&feature=share,【?手片段】李佩玲《不要?他?》《中?新歌?》第9期 SING!CHINA EP.9 20160909 [浙江??官方超清1080P],0
1645368438926792_874542359342741,,,mobile_status_update,2016-09-14T23:44:48+0000,video,https://www.facebook.com/ETtodaySHARE/videos/1205167396206855/,ETtoday分享雲,0
1645368438926792_873279606135683,這部作品會那麼吸引人的原因，我想是因為對人性表達達到了極致。爸爸從一開始只顧自己到後來為了女兒而犧牲，轉變的過程被刻劃的很清楚。壞蛋Boss最後想回家找母親展露的無助，何不是在反問觀眾何為對？何為錯？在末世裡，他也只是想生存而已。看完後反思了許久，自己所在的生活圈也存在著各式各樣的人包括自己，為了在社會這大染缸裡生存無不窮盡手段，當然是好？或壞？又是另一回事了#屍速列車#難得看完會反思的作品,,added_photos,2016-09-12T16:02:00+0000,photo,https://www.facebook.com/photo.php?fbid=873279612802349&set=a.823028327827478&type=3,"Instagram photo by Cha Chin ? Sep 12, 2016 at 4:02pm UTC",0
1645368438926792_871826762947634,你存在，這美麗新世界聽無數變依然不會膩的團～,,mobile_status_update,2016-09-10T02:03:00+0000,video,https://www.facebook.com/ETtodaySTAR/videos/1057772984319540/,ETtoday星光雲,0
1645368438926792_870520709744906,https://youtu.be/7NJqUN9TClM聽這首歌時，覺得能珍惜時間就該珍惜管他是否有那裡委屈，我實在沒時間去跟任何人計較，何不把時間留給自己,,shared_story,2016-09-07T15:51:20+0000,video,https://youtu.be/7NJqUN9TClM,The Band Perry - If I Die Young,0
1645368438926792_870340123096298,,,shared_story,2016-09-07T07:50:19+0000,link,http://gph.is/2bSoPg1,media.giphy.com,0
1645368438926792_868859826577661,熬夜趕企畫書時挺適合聽的歌 分享給跟我做同樣事的朋友暪,,shared_story,2016-09-04T18:52:16+0000,video,https://youtu.be/e2ZNJ9PVDJM,黃得? Fong Wonder [ 我聽見了什麼聲音 What I've Heard ] Official Music Video,0
1645368438926792_868510569945920,陳耿緯 朱昱,,mobile_status_update,2016-09-04T05:18:27+0000,video,https://www.facebook.com/ETtodaySHARE/videos/1193794987344096/,ETtoday分享雲,0
1645368438926792_867291136734530,,,mobile_status_update,2016-09-02T05:57:30+0000,video,https://www.facebook.com/news.ebc/videos/1196205893747833/,東森新聞,0
1645368438926792_865404530256524,,,mobile_status_update,2016-08-30T03:37:58+0000,status,,,0
1645368438926792_861101940686783,在人生這一無止盡的化學反應裡 ，有一種元素是非常重要的(友情與羈絆)在相隔許久之後的重逢，依舊是那當初國中可愛的你們，而讓我嘴角微微上揚的是或許大家都長大了不再是那群天真什麼都不懂的小孩了但相處起來依然沒壓力，依然是我們雖然這次角色是聚會的發起人，但我更像是那個最想念大家的小胖子~(你們懂)，唯一美中不足的是時間有限否則應該大喝來個宿醉 so 只能欠著 下一次補了聊了很多，也知道大家也都在為未來而努力 then 一起加油吧!!恩.. 再送一句話給我自己也給你們because we have each other#2016/8/19,,added_photos,2016-08-22T14:29:35+0000,photo,https://www.facebook.com/photo.php?fbid=861089897354654&set=a.161326523997665&type=3,,0
1645368438926792_856287514501559,相隔1年，終於再次好好的聊了一個下午了簡單的一張照片，裡面卻充滿的滿滿的溫暖與鼓勵!不僅僅是我的姊姊也是我的學姊，你說我的改變很大從沒自信 對生活喪失了樂趣 變成了陽光而有活力直到現在還是很慶幸有人領我進入這個象徵是改變人生軌道的大門(大學生活)，當然剩下的當然我也會努力走得更遠~ Iris Hung才剛過沒幾天，又開始期待下一次的見面了 ><#認識了一位猛猛的新學姊#每個人都在為更美好的生活而努力#一起加油,,added_photos,2016-08-14T14:52:16+0000,photo,https://www.facebook.com/photo.php?fbid=856284437835200&set=a.161326523997665&type=3,,0
1645368438926792_853683148095329,挑戰一個月倒一次垃圾,,mobile_status_update,2016-08-10T01:19:52+0000,video,https://www.facebook.com/ETtoday/videos/1191780924191403/,ETtoday新聞雲,0
1645368438926792_852299181567059,,,mobile_status_update,2016-08-07T12:22:54+0000,status,,,0
1645368438926792_847772292019748,推 韓劇 W當現實與漫畫世界連在一起，那 作家=神很新穎的題材 人性的展現,,added_photos,2016-07-30T04:40:42+0000,photo,https://www.facebook.com/photo.php?fbid=847771505353160&set=a.161326523997665&type=3,,0
1645368438926792_837758069687837,,,shared_story,2016-07-12T14:52:53+0000,video,https://www.youtube.com/attribution_link?a=VX6dCWz8lKI&u=%2Fwatch%3Fv%3DDl3V5OBQNRk%26feature%3Dshare,韋禮安 Weibird Wei - 如果再見 If We Meet Again (電影短版MV) - 電影《極樂宿舍》主題曲,0
1645368438926792_836652113131766,,,mobile_status_update,2016-07-10T14:39:24+0000,video,https://www.facebook.com/TYPHOONJP/videos/1239486629402915/,颱風大肆虐,0
1645368438926792_836152786515032,今天空閒時 在看一次(善良的男人)只好再推一次~ >>>人不能太過好，否則受傷的只會是自己,,added_photos,2016-07-09T14:45:56+0000,photo,https://www.facebook.com/photo.php?fbid=836149443182033&set=a.161326523997665&type=3,,0
1645368438926792_832709303526047,哪裡有風 就飛多遠吧~,,shared_story,2016-07-03T15:39:28+0000,video,https://www.youtube.com/attribution_link?a=2AJ6xooZ864&u=%2Fwatch%3Fv%3DCkksqj2qY8w%26feature%3Dshare,【串?歌曲】《我想和你唱》第7期20160618 ?韶涵、雨馨 《?形的翅膀》+《?若拉》+《淋雨一直走》 Come Sing with Me Collections【湖南??官方超清版】,0
